Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
MARGARET VILLE,"1,380,000",656.6,"2,102",Aug-24,MARGARET DRIVE,Resale,Strata,61.0,"22,623",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40,3,2102,Private-Apartment-99 yrs lease commencing from 2017
PARC CLEMATIS,"1,325,000",688.9,"1,923",Aug-24,JALAN LEMPENG,Sub Sale,Strata,64.0,"20,703",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,06 to 10,5,1923,Private-Apartment-99 yrs lease commencing from 2019
MARINA ONE RESIDENCES,"1,550,000",731.95,"2,118",Aug-24,MARINA WAY,Resale,Strata,68.0,"22,794",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,11 to 15,1,2118,Private-Apartment-99 yrs lease commencing from 2011
NORMANTON PARK,"1,330,000",656.6,"2,026",Aug-24,NORMANTON PARK,Sub Sale,Strata,61.0,"21,803",-,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,5,2026,Private-Apartment-99 yrs lease commencing from 2019
J@63,"2,360,000","1,270.15","1,858",Aug-24,LORONG J TELOK KURAU,Sub Sale,Strata,118.0,"20,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,15,1858,Private-Apartment-Freehold
CITYLIGHTS,"1,010,000",559.73,"1,804",Aug-24,JELLICOE ROAD,Resale,Strata,52.0,"19,423",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,11 to 15,8,1804,Private-Condominium-99 yrs lease commencing from 2004
D'LEEDON,"3,525,000","1,722.24","2,047",Aug-24,LEEDON HEIGHTS,Resale,Strata,160.0,"22,031",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30,10,2047,Private-Condominium-99 yrs lease commencing from 2010
HILLVISTA,"2,100,000","1,216.33","1,727",Aug-24,ELIZABETH DRIVE,Resale,Strata,113.0,"18,584",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05,23,1727,Private-Condominium-Freehold
DUO RESIDENCES,"1,350,000",645.84,"2,090",Aug-24,FRASER STREET,Resale,Strata,60.0,"22,500",-,Apartment,1,99 yrs lease commencing from 2011,7,Core Central Region,06 to 10,7,2090,Private-Apartment-99 yrs lease commencing from 2011
THE TANAMERA,"1,780,000","1,517.72","1,173",Aug-24,TANAH MERAH KECHIL ROAD,Resale,Strata,141.0,"12,624",-,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,11 to 15,16,1173,Private-Condominium-99 yrs lease commencing from 1990
RIPPLE BAY,"1,030,000",764.24,"1,348",Aug-24,PASIR RIS LINK,Resale,Strata,71.0,"14,507",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05,18,1348,Private-Condominium-99 yrs lease commencing from 2011
URBAN VISTA,"860,000",548.96,"1,567",Aug-24,TANAH MERAH KECHIL LINK,Resale,Strata,51.0,"16,863",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15,16,1567,Private-Condominium-99 yrs lease commencing from 2012
CENTENNIA SUITES,"5,085,000","1,786.82","2,846",Aug-24,KIM SENG ROAD,Resale,Strata,166.0,"30,633",-,Condominium,1,Freehold,9,Core Central Region,21 to 25,9,2846,Private-Condominium-Freehold
TERESA VILLE,"2,400,000","1,356.26","1,770",Aug-24,LOWER DELTA ROAD,Resale,Strata,126.0,"19,048",-,Condominium,1,Freehold,4,Rest of Central Region,06 to 10,4,1770,Private-Condominium-Freehold
KINGSFORD . HILLVIEW PEAK,"765,000",538.2,"1,421",Aug-24,HILLVIEW RISE,Resale,Strata,50.0,"15,300",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05,23,1421,Private-Condominium-99 yrs lease commencing from 2012
FLO RESIDENCE,"1,330,000","1,011.82","1,314",Aug-24,PUNGGOL FIELD WALK,Resale,Strata,94.0,"14,149",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,19,1314,Private-Condominium-99 yrs lease commencing from 2011
HUME PARK I,"2,234,360","1,345.5","1,661",Aug-24,HUME AVENUE,Resale,Strata,125.0,"17,875",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10,21,1661,Private-Condominium-Freehold
THE SCALA,"1,720,000",904.18,"1,902",Aug-24,SERANGOON AVENUE 3,Resale,Strata,84.0,"20,476",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10,19,1902,Private-Apartment-99 yrs lease commencing from 2010
ROCHELLE AT NEWTON,"3,450,000","2,292.73","1,505",Aug-24,KENG LEE ROAD,Resale,Strata,213.0,"16,197",-,Condominium,1,99 yrs lease commencing from 2008,11,Core Central Region,26 to 30,11,1505,Private-Condominium-99 yrs lease commencing from 2008
MARGARET VILLE,"1,085,000",527.44,"2,057",Aug-24,MARGARET DRIVE,Resale,Strata,49.0,"22,143",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,3,2057,Private-Apartment-99 yrs lease commencing from 2017
