Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
REGENCY PARK,"5,125,000","2,249.68","2,278",Sep-24,NATHAN ROAD,Resale,Strata,209.0,"24,522",-,Condominium,1,Freehold,10,Core Central Region,01 to 05,10,2278,Private-Condominium-Freehold
HILLHAVEN,"2,064,055","1,011.82","2,040",Sep-24,HILLVIEW RISE,New Sale,Strata,94.0,"21,958",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,11 to 15,23,2040,Private-Condominium-99 yrs lease commencing from 2023
SORA,"1,644,000",731.95,"2,246",Sep-24,YUAN CHING ROAD,New Sale,Strata,68.0,"24,176",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,22,2246,Private-Apartment-99 yrs lease commencing from 2023
PARC CLEMATIS,"1,900,000",914.94,"2,077",Sep-24,JALAN LEMPENG,Sub Sale,Strata,85.0,"22,353",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,01 to 05,5,2077,Private-Apartment-99 yrs lease commencing from 2019
TEMBUSU GRAND,"3,336,000","1,431.61","2,330",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"25,083",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,15,2330,Private-Condominium-99 yrs lease commencing from 2022
TEMBUSU GRAND,"3,517,000","1,431.61","2,457",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"26,444",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,15,2457,Private-Condominium-99 yrs lease commencing from 2022
SELETAR PARK RESIDENCE,"1,285,000","1,076.4","1,194",Sep-24,SELETAR ROAD,Resale,Strata,100.0,"12,850",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05,28,1194,Private-Condominium-99 yrs lease commencing from 2011
EIGHT RIVERSUITES,"2,000,000","1,194.8","1,674",Sep-24,WHAMPOA EAST,Resale,Strata,111.0,"18,018",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25,12,1674,Private-Condominium-99 yrs lease commencing from 2011
STIRLING RESIDENCES,"1,038,000",441.32,"2,352",Sep-24,STIRLING ROAD,Resale,Strata,41.0,"25,317",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10,3,2352,Private-Apartment-99 yrs lease commencing from 2017
THE WOODGROVE,"970,000","1,033.34",939,Sep-24,WOODGROVE DRIVE,Resale,Strata,96.0,"10,104",-,Apartment,1,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,25,939,Private-Apartment-99 yrs lease commencing from 1996
ASCENTIA SKY,"2,700,000","1,474.67","1,831",Sep-24,ALEXANDRA VIEW,Resale,Strata,137.0,"19,708",-,Condominium,1,99 yrs lease commencing from 2008,3,Rest of Central Region,06 to 10,3,1831,Private-Condominium-99 yrs lease commencing from 2008
PRESTIGE HEIGHTS,"928,000",581.26,"1,597",Sep-24,BALESTIER ROAD,Resale,Strata,54.0,"17,185",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15,12,1597,Private-Apartment-Freehold
NEPTUNE COURT,"1,653,333","1,636.13","1,011",Sep-24,MARINE VISTA,Resale,Strata,152.0,"10,877",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,06 to 10,15,1011,Private-Apartment-99 yrs lease commencing from 1975
RV RESIDENCES,"1,030,000",452.09,"2,278",Sep-24,RIVER VALLEY ROAD,Resale,Strata,42.0,"24,524",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,06 to 10,10,2278,Private-Condominium-999 yrs lease commencing from 1877
THE DRAYCOTT,"5,000,000","2,637.18","1,896",Sep-24,DRAYCOTT PARK,Resale,Strata,245.0,"20,408",-,Apartment,1,Freehold,10,Core Central Region,01 to 05,10,1896,Private-Apartment-Freehold
CANBERRA RESIDENCES,"1,268,000","1,151.75","1,101",Sep-24,CANBERRA DRIVE,Resale,Strata,107.0,"11,850",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,27,1101,Private-Condominium-99 yrs lease commencing from 2010
RIVERFRONT RESIDENCES,"2,820,000","1,679.18","1,679",Sep-24,HOUGANG AVENUE 7,Sub Sale,Strata,156.0,"18,077",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,19,1679,Private-Apartment-99 yrs lease commencing from 2018
HILLSTA,"1,010,000",753.48,"1,340",Sep-24,PHOENIX ROAD,Resale,Strata,70.0,"14,429",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10,23,1340,Private-Condominium-99 yrs lease commencing from 2011
AQUARIUS BY THE PARK,"1,225,000","1,097.93","1,116",Sep-24,BEDOK RESERVOIR VIEW,Resale,Strata,102.0,"12,010",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05,16,1116,Private-Condominium-99 yrs lease commencing from 1996
76 SHENTON,"1,730,000",979.52,"1,766",Sep-24,SHENTON WAY,Resale,Strata,91.0,"19,011",-,Apartment,1,99 yrs lease commencing from 2007,2,Core Central Region,06 to 10,2,1766,Private-Apartment-99 yrs lease commencing from 2007
LIVIA,"1,455,000","1,270.15","1,146",Sep-24,PASIR RIS GROVE,Resale,Strata,118.0,"12,331",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05,18,1146,Private-Condominium-99 yrs lease commencing from 2008
FOREST WOODS,"1,325,000",656.6,"2,018",Sep-24,LORONG LEW LIAN,Resale,Strata,61.0,"21,721",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05,19,2018,Private-Condominium-99 yrs lease commencing from 2016
THE PANORAMA,"1,368,000",699.66,"1,955",Sep-24,ANG MO KIO AVENUE 2,Resale,Strata,65.0,"21,046",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10,20,1955,Private-Condominium-99 yrs lease commencing from 2013
TANGLIN VIEW,"1,985,000","1,140.98","1,740",Sep-24,PRINCE CHARLES CRESCENT,Resale,Strata,106.0,"18,726",-,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,11 to 15,3,1740,Private-Condominium-99 yrs lease commencing from 1997
HAIG 162,"1,150,000",581.26,"1,978",Sep-24,HAIG ROAD,Resale,Strata,54.0,"21,296",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,15,1978,Private-Apartment-Freehold
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"3,036,000","1,657.66","1,832",Sep-24,OCEAN WAY,Resale,Strata,154.0,"19,714",-,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,01 to 05,4,1832,Private-Condominium-99 yrs lease commencing from 2006
EIGHT RIVERSUITES,"1,300,000",699.66,"1,858",Sep-24,WHAMPOA EAST,Resale,Strata,65.0,"20,000",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,16 to 20,12,1858,Private-Condominium-99 yrs lease commencing from 2011
THE TAPESTRY,"761,000",441.32,"1,724",Sep-24,TAMPINES STREET 86,Resale,Strata,41.0,"18,561",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15,18,1724,Private-Condominium-99 yrs lease commencing from 2017
SOPHIA RESIDENCE,"2,880,000","1,711.48","1,683",Sep-24,SOPHIA ROAD,Resale,Strata,159.0,"18,113",-,Condominium,1,Freehold,9,Core Central Region,01 to 05,9,1683,Private-Condominium-Freehold
UPTOWN @ FARRER,"1,180,000",538.2,"2,192",Sep-24,PERUMAL ROAD,Resale,Strata,50.0,"23,600",-,Apartment,1,99 yrs lease commencing from 2017,8,Rest of Central Region,16 to 20,8,2192,Private-Apartment-99 yrs lease commencing from 2017
EUHABITAT,"718,000",516.67,"1,390",Sep-24,JALAN EUNOS,Resale,Strata,48.0,"14,958",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05,14,1390,Private-Condominium-99 yrs lease commencing from 2010
WATERFRONT @ FABER,"1,033,000",721.19,"1,432",Sep-24,FABER WALK,Resale,Strata,67.0,"15,418",-,Apartment,1,99 yrs lease commencing from 2013,5,Outside Central Region,01 to 05,5,1432,Private-Apartment-99 yrs lease commencing from 2013
THE MINTON,"1,610,000","1,087.16","1,481",Sep-24,HOUGANG STREET 11,Resale,Strata,101.0,"15,941",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10,19,1481,Private-Condominium-99 yrs lease commencing from 2007
THE WOODLEIGH RESIDENCES,"1,260,000",570.49,"2,209",Sep-24,BIDADARI PARK DRIVE,Sub Sale,Strata,53.0,"23,774",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,13,2209,Private-Apartment-99 yrs lease commencing from 2017
WOODHAVEN,"841,400",645.84,"1,303",Sep-24,WOODGROVE AVENUE,Resale,Strata,60.0,"14,023",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,25,1303,Private-Condominium-99 yrs lease commencing from 2011
THE PANORAMA,"1,348,000",699.66,"1,927",Sep-24,ANG MO KIO AVENUE 2,Resale,Strata,65.0,"20,738",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10,20,1927,Private-Condominium-99 yrs lease commencing from 2013
PENROSE,"1,540,000",699.66,"2,201",Sep-24,SIMS DRIVE,Sub Sale,Strata,65.0,"23,692",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,06 to 10,14,2201,Private-Apartment-99 yrs lease commencing from 2019
RESIDENTIAL APARTMENTS,"1,500,000","1,302.44","1,152",Sep-24,GUILLEMARD ROAD,Resale,Strata,121.0,"12,397",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1152,Private-Apartment-Freehold
THE WOODLEIGH RESIDENCES,"1,530,000",667.37,"2,293",Sep-24,BIDADARI PARK DRIVE,Sub Sale,Strata,62.0,"24,677",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10,13,2293,Private-Apartment-99 yrs lease commencing from 2017
TESSA LODGE,"2,000,000","1,227.1","1,630",Sep-24,MOUNTBATTEN ROAD,Resale,Strata,114.0,"17,544",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1630,Private-Apartment-Freehold
CONCOURSE SKYLINE,"2,210,000","1,097.93","2,013",Sep-24,BEACH ROAD,Resale,Strata,102.0,"21,667",-,Apartment,1,99 yrs lease commencing from 2008,7,Core Central Region,26 to 30,7,2013,Private-Apartment-99 yrs lease commencing from 2008
H2O RESIDENCES,"1,190,000",882.65,"1,348",Sep-24,FERNVALE LINK,Resale,Strata,82.0,"14,512",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,06 to 10,28,1348,Private-Condominium-99 yrs lease commencing from 2010
8 FARRER SUITES,"1,120,000",624.31,"1,794",Sep-24,SING JOO WALK,Resale,Strata,58.0,"19,310",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,8,1794,Private-Apartment-Freehold
CORALS AT KEPPEL BAY,"2,020,000","1,001.05","2,018",Sep-24,KEPPEL BAY DRIVE,Resale,Strata,93.0,"21,720",-,Condominium,1,99 yrs lease commencing from 2007,4,Rest of Central Region,01 to 05,4,2018,Private-Condominium-99 yrs lease commencing from 2007
THE AMARELLE,"2,500,000","1,442.38","1,733",Sep-24,LIM AH WOO ROAD,Resale,Strata,134.0,"18,657",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1733,Private-Apartment-Freehold
NORMANTON PARK,"1,340,000",656.6,"2,041",Sep-24,NORMANTON PARK,Sub Sale,Strata,61.0,"21,967",-,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,5,2041,Private-Apartment-99 yrs lease commencing from 2019
THE LAKEFRONT RESIDENCES,"835,000",505.91,"1,650",Sep-24,LAKESIDE DRIVE,Resale,Strata,47.0,"17,766",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,11 to 15,22,1650,Private-Condominium-99 yrs lease commencing from 2010
PARK EAST,"2,900,000","2,077.45","1,396",Sep-24,JALAN TUA KONG,Resale,Strata,193.0,"15,026",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,15,1396,Private-Condominium-Freehold
RIVERSOUND RESIDENCE,"1,492,000","1,065.64","1,400",Sep-24,SENGKANG EAST AVENUE,Resale,Strata,99.0,"15,071",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,19,1400,Private-Condominium-99 yrs lease commencing from 2011
WALLICH RESIDENCE,"4,938,000","1,646.89","2,998",Sep-24,WALLICH STREET,Resale,Strata,153.0,"32,275",-,Apartment,1,99 yrs lease commencing from 2011,2,Core Central Region,46 to 50,2,2998,Private-Apartment-99 yrs lease commencing from 2011
PARC OLYMPIA,"1,430,000","1,323.97","1,080",Sep-24,FLORA DRIVE,Resale,Strata,123.0,"11,626",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,17,1080,Private-Condominium-99 yrs lease commencing from 2012
THE SEAFRONT ON MEYER,"3,800,000","1,603.84","2,369",Sep-24,MEYER ROAD,Resale,Strata,149.0,"25,503",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,15,2369,Private-Condominium-Freehold
SEAHILL,"1,030,000",667.37,"1,543",Sep-24,WEST COAST CRESCENT,Resale,Strata,62.0,"16,613",-,Condominium,1,99 yrs lease commencing from 2011,5,Outside Central Region,11 to 15,5,1543,Private-Condominium-99 yrs lease commencing from 2011
A TREASURE TROVE,"1,728,888","1,044.11","1,656",Sep-24,PUNGGOL WALK,Resale,Strata,97.0,"17,824",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10,19,1656,Private-Condominium-99 yrs lease commencing from 2011
ONE AMBER,"1,190,000",570.49,"2,086",Sep-24,AMBER GARDENS,Resale,Strata,53.0,"22,453",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,15,2086,Private-Condominium-Freehold
THE CONTINUUM,"1,869,000",667.37,"2,801",Sep-24,THIAM SIEW AVENUE,New Sale,Strata,62.0,"30,145",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,15,2801,Private-Apartment-Freehold
EAST VIEW,"2,180,000","1,097.93","1,986",Sep-24,BROOKE ROAD,Resale,Strata,102.0,"21,373",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1986,Private-Apartment-Freehold
HILLION RESIDENCES,"820,000",473.62,"1,731",Sep-24,JELEBU ROAD,Resale,Strata,44.0,"18,636",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,06 to 10,23,1731,Private-Apartment-99 yrs lease commencing from 2013
SOPHIA HILLS,"1,580,000",721.19,"2,191",Sep-24,MOUNT SOPHIA,Resale,Strata,67.0,"23,582",-,Condominium,1,99 yrs lease commencing from 2013,9,Core Central Region,01 to 05,9,2191,Private-Condominium-99 yrs lease commencing from 2013
TRILIVE,"833,400",462.85,"1,801",Sep-24,TAMPINES ROAD,Resale,Strata,43.0,"19,381",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05,19,1801,Private-Condominium-Freehold
NYON,"1,900,000",914.94,"2,077",Sep-24,AMBER ROAD,Resale,Strata,85.0,"22,353",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,2077,Private-Apartment-Freehold
MIDTOWN BAY,"2,342,600",753.48,"3,090",Sep-24,BEACH ROAD,New Sale,Strata,70.0,"33,260","2,328,200",Apartment,1,99 yrs lease commencing from 2018,7,Core Central Region,06 to 10,7,3090,Private-Apartment-99 yrs lease commencing from 2018
D'NEST,"1,675,000","1,130.22","1,482",Sep-24,PASIR RIS GROVE,Resale,Strata,105.0,"15,952",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10,18,1482,Private-Condominium-99 yrs lease commencing from 2010
IMPERIAL HEIGHTS,"993,000",581.26,"1,708",Sep-24,IPOH LANE,Resale,Strata,54.0,"18,389",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1708,Private-Apartment-Freehold
SYCAMORE TREE,"802,000",441.32,"1,817",Sep-24,FOWLIE ROAD,Sub Sale,Strata,41.0,"19,561",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1817,Private-Apartment-Freehold
BOTANIQUE AT BARTLEY,"1,328,888",731.95,"1,816",Sep-24,UPPER PAYA LEBAR ROAD,Resale,Strata,68.0,"19,542",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05,19,1816,Private-Condominium-99 yrs lease commencing from 2014
SCENECA RESIDENCE,"2,128,000","1,044.11","2,038",Sep-24,TANAH MERAH KECHIL LINK,New Sale,Strata,97.0,"21,938",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,01 to 05,16,2038,Private-Apartment-99 yrs lease commencing from 2021
THE GLADES,"1,230,000",678.13,"1,814",Sep-24,BEDOK RISE,Resale,Strata,63.0,"19,524",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10,16,1814,Private-Condominium-99 yrs lease commencing from 2013
BAYSHORE PARK,"1,220,000",936.47,"1,303",Sep-24,BAYSHORE ROAD,Resale,Strata,87.0,"14,023",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10,16,1303,Private-Condominium-99 yrs lease commencing from 1982
ORCHARD SCOTTS,"2,250,000","1,108.69","2,029",Sep-24,ANTHONY ROAD,Resale,Strata,103.0,"21,845",-,Condominium,1,99 yrs lease commencing from 2001,9,Core Central Region,01 to 05,9,2029,Private-Condominium-99 yrs lease commencing from 2001
HILLHAVEN,"1,957,180","1,011.82","1,934",Sep-24,HILLVIEW RISE,New Sale,Strata,94.0,"20,821",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05,23,1934,Private-Condominium-99 yrs lease commencing from 2023
LEEDON RESIDENCE,"5,880,000","2,131.27","2,759",Sep-24,LEEDON HEIGHTS,Resale,Strata,198.0,"29,697",-,Condominium,1,Freehold,10,Core Central Region,06 to 10,10,2759,Private-Condominium-Freehold
CLAVON,"2,650,000","1,280.92","2,069",Sep-24,CLEMENTI AVENUE 1,Sub Sale,Strata,119.0,"22,269",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,11 to 15,5,2069,Private-Apartment-99 yrs lease commencing from 2019
CUSCADEN RESERVE,"1,950,000",699.66,"2,787",Sep-24,CUSCADEN ROAD,Resale,Strata,65.0,"30,000",-,Condominium,1,99 yrs lease commencing from 2018,10,Core Central Region,11 to 15,10,2787,Private-Condominium-99 yrs lease commencing from 2018
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"3,799,600","2,066.69","1,838",Sep-24,OCEAN WAY,Resale,Strata,192.0,"19,790",-,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,01 to 05,4,1838,Private-Condominium-99 yrs lease commencing from 2006
TEMBUSU GRAND,"3,347,000","1,431.61","2,338",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"25,165",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,15,2338,Private-Condominium-99 yrs lease commencing from 2022
TEMBUSU GRAND,"3,391,000","1,431.61","2,369",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"25,496",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,15,2369,Private-Condominium-99 yrs lease commencing from 2022
THE BALE,"1,555,000","1,065.64","1,459",Sep-24,LORONG H TELOK KURAU,Resale,Strata,99.0,"15,707",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,15,1459,Private-Apartment-Freehold
8 @ MOUNT SOPHIA,"2,550,000","1,463.9","1,742",Sep-24,MOUNT SOPHIA,Resale,Strata,136.0,"18,750",-,Condominium,1,103 yrs lease commencing from 2002,9,Core Central Region,06 to 10,9,1742,Private-Condominium-103 yrs lease commencing from 2002
SUNGLADE,"1,836,888","1,140.98","1,610",Sep-24,SERANGOON AVENUE 2,Resale,Strata,106.0,"17,329",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10,19,1610,Private-Condominium-99 yrs lease commencing from 2000
STARLIGHT SUITES,"2,393,000","1,076.4","2,223",Sep-24,RIVER VALLEY CLOSE,Resale,Strata,100.0,"23,930",-,Apartment,1,Freehold,9,Core Central Region,31 to 35,9,2223,Private-Apartment-Freehold
THE POIZ RESIDENCES,"1,040,000",538.2,"1,932",Sep-24,MEYAPPA CHETTIAR ROAD,Resale,Strata,50.0,"20,800",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10,13,1932,Private-Apartment-99 yrs lease commencing from 2014
SANCTUARY GREEN,"1,588,000",828.83,"1,916",Sep-24,TANJONG RHU ROAD,Resale,Strata,77.0,"20,623",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10,15,1916,Private-Condominium-99 yrs lease commencing from 1997
THE WOODLEIGH RESIDENCES,"1,850,000",742.72,"2,491",Sep-24,BIDADARI PARK DRIVE,Sub Sale,Strata,69.0,"26,812",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,13,2491,Private-Apartment-99 yrs lease commencing from 2017
REGENT PARK,"1,660,000","1,227.1","1,353",Sep-24,JALAN LEMPENG,Resale,Strata,114.0,"14,561",-,Condominium,1,99 yrs lease commencing from 1993,5,Outside Central Region,01 to 05,5,1353,Private-Condominium-99 yrs lease commencing from 1993
RIO VISTA,"1,430,000","1,237.86","1,155",Sep-24,UPPER SERANGOON VIEW,Resale,Strata,115.0,"12,435",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10,19,1155,Private-Condominium-99 yrs lease commencing from 2001
THE TRILINQ,"2,650,000","1,517.72","1,746",Sep-24,JALAN LEMPENG,Resale,Strata,141.0,"18,794",-,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,31 to 35,5,1746,Private-Condominium-99 yrs lease commencing from 2012
THE RICHMOND,"2,000,000","1,237.86","1,616",Sep-24,ST. MICHAEL'S ROAD,Resale,Strata,115.0,"17,391",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,12,1616,Private-Apartment-Freehold
LA FIESTA,"1,700,000","1,001.05","1,698",Sep-24,SENGKANG SQUARE,Resale,Strata,93.0,"18,280",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15,19,1698,Private-Condominium-99 yrs lease commencing from 2012
TWIN VEW,"1,988,888","1,054.87","1,885",Sep-24,WEST COAST VALE,Resale,Strata,98.0,"20,295",-,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,31 to 35,5,1885,Private-Apartment-99 yrs lease commencing from 2017
26 NEWTON,"1,088,000",484.38,"2,246",Sep-24,NEWTON ROAD,Resale,Strata,45.0,"24,178",-,Apartment,1,Freehold,11,Core Central Region,21 to 25,11,2246,Private-Apartment-Freehold
WATERFRONT @ FABER,"1,100,000",753.48,"1,460",Sep-24,FABER WALK,Resale,Strata,70.0,"15,714",-,Apartment,1,99 yrs lease commencing from 2013,5,Outside Central Region,01 to 05,5,1460,Private-Apartment-99 yrs lease commencing from 2013
CASTLE GREEN,"1,900,000","1,410.08","1,347",Sep-24,YIO CHU KANG ROAD,Resale,Strata,131.0,"14,504",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,06 to 10,26,1347,Private-Condominium-99 yrs lease commencing from 1993
COASTLINE RESIDENCES,"2,858,000","1,108.69","2,578",Sep-24,AMBER ROAD,Sub Sale,Strata,103.0,"27,748",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,15,2578,Private-Apartment-Freehold
SENGKANG GRAND RESIDENCES,"1,868,000",936.47,"1,995",Sep-24,COMPASSVALE BOW,Sub Sale,Strata,87.0,"21,471",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,19,1995,Private-Apartment-99 yrs lease commencing from 2018
MI CASA,"1,670,000","1,280.92","1,304",Sep-24,CHOA CHU KANG AVENUE 3,Resale,Strata,119.0,"14,034",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,06 to 10,23,1304,Private-Condominium-99 yrs lease commencing from 2008
MATTAR RESIDENCES,"1,675,000",710.42,"2,358",Sep-24,MATTAR ROAD,Resale,Strata,66.0,"25,379",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,2358,Private-Apartment-Freehold
PRINCIPAL GARDEN,"2,560,000","1,076.4","2,378",Sep-24,PRINCE CHARLES CRESCENT,Resale,Strata,100.0,"25,600",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,01 to 05,3,2378,Private-Condominium-99 yrs lease commencing from 2014
THE SAIL @ MARINA BAY,"2,420,000","1,313.21","1,843",Sep-24,MARINA BOULEVARD,Resale,Strata,122.0,"19,836",-,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,21 to 25,1,1843,Private-Apartment-99 yrs lease commencing from 2002
THE WHARF RESIDENCE,"2,600,000","1,033.34","2,516",Sep-24,TONG WATT ROAD,Resale,Strata,96.0,"27,083",-,Condominium,1,999 yrs lease commencing from 1841,9,Core Central Region,11 to 15,9,2516,Private-Condominium-999 yrs lease commencing from 1841
THE LAKESHORE,"1,880,000","1,173.28","1,602",Sep-24,JURONG WEST STREET 41,Resale,Strata,109.0,"17,248",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,16 to 20,22,1602,Private-Condominium-99 yrs lease commencing from 2002
FORETT@BUKIT TIMAH,"3,300,000","1,560.78","2,114",Sep-24,TOH TUCK ROAD,Sub Sale,Strata,145.0,"22,759",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,21,2114,Private-Apartment-Freehold
THOMSON THREE,"1,525,000",731.95,"2,083",Sep-24,BRIGHT HILL DRIVE,Resale,Strata,68.0,"22,426",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,16 to 20,20,2083,Private-Apartment-99 yrs lease commencing from 2012
REGENT HEIGHTS,"1,068,000","1,022.58","1,044",Sep-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95.0,"11,242",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,16 to 20,23,1044,Private-Condominium-99 yrs lease commencing from 1995
ECO,"828,888",548.96,"1,510",Sep-24,BEDOK SOUTH AVENUE 3,Resale,Strata,51.0,"16,253",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10,16,1510,Private-Condominium-99 yrs lease commencing from 2012
THE JOVELL,"940,000",645.84,"1,455",Sep-24,FLORA DRIVE,Resale,Strata,60.0,"15,667",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05,17,1455,Private-Condominium-99 yrs lease commencing from 2018
SOMMERVILLE PARK,"4,350,000","1,948.28","2,233",Sep-24,FARRER DRIVE,Resale,Strata,181.0,"24,033",-,Condominium,1,Freehold,10,Core Central Region,01 to 05,10,2233,Private-Condominium-Freehold
HARBOUR VIEW GARDENS,"1,180,000",624.31,"1,890",Sep-24,PASIR PANJANG ROAD,Resale,Strata,58.0,"20,345",-,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,5,1890,Private-Apartment-Freehold
GLENTREES,"2,880,000","1,442.38","1,997",Sep-24,MOUNT SINAI LANE,Resale,Strata,134.0,"21,493",-,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05,10,1997,Private-Condominium-999 yrs lease commencing from 1885
