Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SERANGOON GARDEN ESTATE,"6,650,000","2,799.72","2,375",Jan-26,BLOXHOME DRIVE,Resale,Land,260.1,"25,567",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,280,000","3,507.99","2,645",Jan-26,JALAN KEBAYA,Resale,Land,325.9,"28,475",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,700,000","2,278.74","2,063",Jan-26,JALAN TANJONG,Resale,Land,211.7,"22,201",-,Terrace House,1,Freehold,16,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"6,400,000","1,999.95","3,200",Jan-26,JALAN MENARONG,Resale,Land,185.8,"34,446",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,167,207","4,532.72","1,361",Jan-26,LORONG G TELOK KURAU,Resale,Land,421.1,"14,645",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
SERANGOON GARDEN ESTATE,"9,400,000","4,171.05","2,254",Jan-26,FARLEIGH AVENUE,Resale,Land,387.5,"24,258",-,Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"5,200,000","1,982.73","2,623",Jan-26,JALAN TELANG,Resale,Land,184.2,"28,230",-,Terrace House,1,Freehold,20,Outside Central Region,-
CLEMENTI PARK,"7,700,000","5,646.79","1,364",Jan-26,SUNSET TERRACE,Resale,Land,524.6,"14,678",-,Semi-Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"26,600,000","14,490.5","1,836",Jan-26,WILBY ROAD,Resale,Land,"1,346.2","19,759",-,Detached House,1,Freehold,10,Core Central Region,-
ADELPHI PARK ESTATE,"10,100,000","7,200.04","1,403",Jan-26,MARIGOLD DRIVE,Resale,Land,668.9,"15,099",-,Detached House,1,Freehold,20,Rest of Central Region,-
SENNETT ESTATE,"3,280,000","1,500.5","2,186",Jan-26,MACPHERSON ROAD,Resale,Land,139.4,"23,529",-,Terrace House,1,Freehold,13,Rest of Central Region,-
MOUNT SINAI,"6,280,000","1,807.28","3,475",Jan-26,MOUNT SINAI DRIVE,Resale,Land,167.9,"37,403",-,Terrace House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,080,000","2,651.17","2,293",Jan-26,LOYANG BESAR CLOSE,New Sale,Land,246.3,"24,685",-,Terrace House,1,999 years leasehold,17,Outside Central Region,-
MIMOSA VILLAS,"5,400,000","4,048.34","1,334",Jan-26,MIMOSA WALK,Resale,Land,376.1,"14,358",-,Semi-Detached House,1,999 yrs lease commencing from 1878,28,Outside Central Region,-
TAI HWAN GARDEN,"5,080,000","2,015.02","2,521",Jan-26,TAI HWAN WALK,Resale,Land,187.2,"27,137",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,380,000","3,482.15","1,545",Jan-26,LENGKONG EMPAT,Resale,Land,323.5,"16,631",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
OPERA ESTATE,"3,618,888","1,279.84","2,828",Jan-26,DAFNE STREET,Resale,Land,118.9,"30,436",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"15,500,000","10,061.11","1,541",Jan-26,DYSON ROAD,Resale,Land,934.7,"16,583",-,Detached House,1,Freehold,11,Core Central Region,-
BURGUNDY HILL,"3,088,000","2,314.26","1,334",Jan-26,BURGUNDY CRESCENT,Resale,Land,215,"14,363",-,Semi-Detached House,1,99 yrs lease commencing from 1995,23,Outside Central Region,-
THE RIVERINA,"2,860,000","2,287.35","1,250",Jan-26,RIVERINA VIEW,Resale,Land,212.5,"13,459",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
GALLOP VILLAS,"31,500,000","15,256.89","2,065",Jan-26,WOOLLERTON PARK,Resale,Land,"1,417.4","22,224",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,338,800","2,663.01","2,005",Jan-26,BERWICK DRIVE,Resale,Land,247.4,"21,580",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,800,000","10,354.97","1,333",Jan-26,BRIGHTON CRESCENT,Resale,Land,962,"14,345",-,Detached House,1,Freehold,19,Outside Central Region,-
HONG HENG TERRACE,"3,980,000","1,633.98","2,436",Jan-26,THONG BEE ROAD,Resale,Land,151.8,"26,219",-,Terrace House,1,Freehold,26,Outside Central Region,-
KING'S GARDEN,"16,650,000","4,533.8","3,672",Jan-26,KING'S WALK,Resale,Land,421.2,"39,530",-,Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
SERANGOON GARDEN ESTATE,"7,550,000","2,802.95","2,694",Jan-26,BODMIN DRIVE,Resale,Land,260.4,"28,994",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
LENTOR VILLAS,"5,000,000","3,398.19","1,471",Jan-26,LENTOR STREET,Resale,Land,315.7,"15,838",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
HENRY PARK,"10,500,000","3,939.62","2,665",Jan-26,GROVE DRIVE,Resale,Land,366,"28,689",-,Terrace House,1,Freehold,10,Core Central Region,-
TAI HWAN GARDEN,"4,268,000","2,016.1","2,117",Jan-26,TAI HWAN LANE,Resale,Land,187.3,"22,787",-,Terrace House,1,Freehold,19,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"4,750,000","1,804.05","2,633",Jan-26,TAGORE AVENUE,Resale,Land,167.6,"28,341",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
CAYMAN RESIDENCES,"6,100,000","1,684.57","3,621",Jan-26,EAST COAST AVENUE,Resale,Land,156.5,"38,978",-,Terrace House,1,Freehold,15,Outside Central Region,-
SERANGOON PARK,"4,300,000","1,652.27","2,602",Jan-26,JALAN RIANG,Resale,Land,153.5,"28,013",-,Terrace House,1,Freehold,13,Outside Central Region,-
SUNRISE VILLA,"4,600,000","1,641.51","2,802",Jan-26,SUNRISE WAY,Resale,Land,152.5,"30,164",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,600,000","4,342.2","2,441",Jan-26,CHANGI ROAD,New Sale,Land,403.4,"26,277",-,Detached House,1,Freehold,14,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,750,000","3,357.29","2,606",Jan-26,MARYLAND DRIVE,Resale,Land,311.9,"28,054",-,Semi-Detached House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
THOMSON GARDEN ESTATE,"3,000,000",942.93,"3,182",Jan-26,SIN MING ROAD,Resale,Land,87.6,"34,247",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"11,399,000","2,417.59","4,715",Jan-26,EMERALD HILL ROAD,Resale,Land,224.6,"50,752",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"13,600,000","7,648.9","1,778",Jan-26,OCEAN DRIVE,Resale,Land,710.6,"19,139",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
SURIN GARDENS,"5,780,000","1,927.83","2,998",Jan-26,SURIN AVENUE,Resale,Land,179.1,"32,272",-,Terrace House,1,Freehold,19,Outside Central Region,-
TEACHERS' HOUSING ESTATE,"5,200,000","3,115.1","1,669",Jan-26,LI PO AVENUE,Resale,Land,289.4,"17,968",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,320,000","1,774.98","2,434",Jan-26,LORONG MARZUKI,Resale,Land,164.9,"26,198",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,016,888","2,787.66","3,593",Jan-26,BOURNEMOUTH ROAD,New Sale,Land,258.98,"38,678",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"9,550,000","4,809.36","1,986",Jan-26,MUGLISTON ROAD,Resale,Land,446.8,"21,374",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,000,000","5,329.26","1,314",Jan-26,PARRY AVENUE,Resale,Land,495.1,"14,139",-,Semi-Detached House,1,999 yrs lease commencing from 1886,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,680,000","2,233.53","2,543",Jan-26,SUNBIRD CIRCLE,New Sale,Land,207.5,"27,373",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,550,000","2,870.76","2,282",Jan-26,ST. PATRICK'S ROAD,Resale,Land,266.7,"24,559",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,800,000","3,106.6","2,511",Jan-26,BRIGHTON CRESCENT,New Sale,Land,288.61,"27,026",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,380,000","3,068.82","1,753",Jan-26,JALAN LATEH,Resale,Land,285.1,"18,871",-,Terrace House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,900,000","1,712.55","1,693",Jan-26,TOH TUCK CRESCENT,Resale,Land,159.1,"18,228",-,Terrace House,1,99 yrs lease commencing from 1992,21,Rest of Central Region,-
MOUNT SINAI,"8,700,000","4,488.59","1,938",Jan-26,MOUNT SINAI RISE,Resale,Land,417,"20,863",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
CHIP THYE GARDEN,"4,300,000","2,160.33","1,990",Jan-26,YIO CHU KANG GARDENS,Resale,Land,200.7,"21,425",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","3,849.21","1,403",Jan-26,MENG SUAN ROAD,Resale,Land,357.6,"15,101",-,Semi-Detached House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
HONG KONG PARK,"8,680,000","3,929.94","2,209",Jan-26,HUA GUAN AVENUE,Resale,Land,365.1,"23,774",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"4,800,000","2,806.17","1,711",Jan-26,BROCKHAMPTON DRIVE,Resale,Land,260.7,"18,412",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
STRATTON PARK,"4,900,000","3,297.01","1,486",Jan-26,STRATTON WALK,Resale,Land,306.3,"15,997",-,Terrace House,1,Freehold,28,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"4,800,000","2,859.99","1,678",Jan-26,JALAN SALANG,Resale,Land,265.7,"18,065",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
HOLLAND GARDENS,"8,630,000","3,519.83","2,452",Jan-26,MOONBEAM TERRACE,Resale,Land,327,"26,391",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LINK RESIDENCE @ HOLLAND,"13,160,000","4,345.43","3,028",Jan-26,GREENLEAF VIEW,Resale,Land,403.7,"32,598",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,900,000","1,552.17","3,157",Jan-26,JOO CHIAT PLACE,Resale,Land,144.2,"33,981",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SHANGRI-LA PARK,"5,628,800","3,294.86","1,708",Jan-26,SHANGRI-LA CLOSE,Resale,Land,306.1,"18,389",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,600,000","2,846","1,616",Jan-26,ST. XAVIER'S LANE,Resale,Land,264.4,"17,398",-,Terrace House,1,Freehold,19,Outside Central Region,-
BRADDELL HEIGHTS ESTATE,"11,500,000","4,317.44","2,664",Jan-26,CLIFTON VALE,New Sale,Land,401.1,"28,671",-,Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,735,000","4,496.12","1,498",Jan-26,PAYA LEBAR CRESCENT,Resale,Land,417.7,"16,124",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
SENNETT ESTATE,"5,500,000","2,305.65","2,385",Jan-26,LICHI AVENUE,Resale,Land,214.2,"25,677",-,Terrace House,1,Freehold,13,Rest of Central Region,-
WESTVILLE,"2,490,000","2,174.33","1,145",Jan-26,WESTWOOD ROAD,Resale,Land,202,"12,327",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
THOMSON GARDEN ESTATE,"3,150,000",884.8,"3,560",Jan-26,JALAN PINTAU,Resale,Land,82.2,"38,321",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"5,880,000","2,872.91","2,047",Jan-26,BERWICK DRIVE,Resale,Land,266.9,"22,031",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"4,888,000","1,500.5","3,258",Jan-26,NEMESU AVENUE,Resale,Land,139.4,"35,065",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,380,000","1,839.57","1,837",Jan-26,JALAN TARI PIRING,Resale,Land,170.9,"19,778",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"5,200,000","2,486.48","2,091",Jan-26,JALAN KURAS,Resale,Land,231,"22,511",-,Terrace House,1,Freehold,20,Outside Central Region,-
SPRING PARK ESTATE,"5,620,000","3,643.61","1,542",Jan-26,JALAN REMIS,Resale,Land,338.5,"16,603",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THE MONDRIAN,"6,500,000","2,274.43","2,858",Jan-26,HINDHEDE PLACE,Resale,Land,211.3,"30,762",-,Semi-Detached House,1,999 yrs lease commencing from 1884,21,Outside Central Region,-
WEST COAST GARDENS,"4,300,000","1,979.5","2,172",Jan-26,WEST COAST PLACE,Resale,Land,183.9,"23,382",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
POLLEN COLLECTION II,"4,208,000","1,614.6","2,606",Jan-26,POLLEN RISE,New Sale,Land,150,"28,053",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"5,600,000","5,389.53","1,039",Jan-26,JALAN SHAER,Resale,Land,500.7,"11,184",-,Detached House,1,Freehold,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,350,000","2,800.79","1,553",Jan-26,RICHARDS PLACE,Resale,Land,260.2,"16,718",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","5,521.93",996,Jan-26,HARVEY AVENUE,Resale,Land,513,"10,721",-,Detached House,1,Freehold,16,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,800,000","2,114.05","2,271",Jan-26,PENSHURST PLACE,Resale,Land,196.4,"24,440",-,Terrace House,1,Freehold,19,Outside Central Region,-
HENRY PARK,"16,000,000","4,150.6","3,855",Jan-26,GROVE DRIVE,Resale,Land,385.6,"41,494",-,Detached House,1,Freehold,10,Core Central Region,-
TUAN SING PARK,"4,450,000","3,814.76","1,167",Dec-25,YIO CHU KANG ROAD,Resale,Land,354.4,"12,556",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SARACA GARDENS,"6,600,000","4,493.97","1,469",Dec-25,SARACA ROAD,Resale,Land,417.5,"15,808",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
CLOVER PARK,"5,220,000","1,793.28","2,911",Dec-25,CLOVER WAY,Resale,Land,166.6,"31,333",-,Terrace House,1,Freehold,20,Rest of Central Region,-
BEDOKVILLE,"6,850,000","3,571.5","1,918",Dec-25,JALAN LIMAU PURUT,Resale,Land,331.8,"20,645",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,500,000","1,840.64","4,075",Dec-25,EAST COAST ROAD,Resale,Land,171,"43,860",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,680,000","1,738.39","3,843",Dec-25,CARPMAEL ROAD,Resale,Land,161.5,"41,362",-,Terrace House,1,Freehold,15,Rest of Central Region,-
TOH TUCK GARDEN,"4,038,000","1,757.76","2,297",Dec-25,TOH TUCK CRESCENT,Resale,Land,163.3,"24,727",-,Terrace House,1,Freehold,21,Rest of Central Region,-
VILLA VERDE,"2,598,888","2,152.8","1,207",Dec-25,VERDE CRESCENT,Resale,Land,200,"12,994",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
SEMBAWANG STRAITS ESTATE,"2,600,000","1,763.14","1,475",Dec-25,JALAN GELAM,Resale,Land,163.8,"15,873",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
SEASIDE PARK,"7,420,000","3,053.75","2,430",Dec-25,EAST COAST ROAD,Resale,Land,283.7,"26,154",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,080,000","1,869.71","2,182",Dec-25,JALAN ARIF,Resale,Land,173.7,"23,489",-,Terrace House,1,999 yrs lease commencing from 1875,19,Outside Central Region,-
OPERA ESTATE,"5,550,000","1,599.53","3,470",Dec-25,ERNANI STREET,Resale,Land,148.6,"37,349",-,Terrace House,1,Freehold,15,Outside Central Region,-
THE SPRINGSIDE,"4,080,000","1,663.04","2,453",Dec-25,SPRINGSIDE CRESCENT,Resale,Land,154.5,"26,408",-,Terrace House,1,Freehold,26,Outside Central Region,-
COMFORT GARDEN,"5,100,000","3,470.31","1,470",Dec-25,HONG SAN WALK,Resale,Land,322.4,"15,819",-,Semi-Detached House,1,Freehold,23,Outside Central Region,-
BRADDELL HEIGHTS ESTATE,"10,500,000","5,580.06","1,882",Dec-25,MUSWELL HILL,Resale,Land,518.4,"20,255",-,Detached House,1,Freehold,13,Outside Central Region,-
MERA GARDENS,"6,500,000","5,966.49","1,089",Dec-25,ALMOND CRESCENT,Resale,Land,554.3,"11,727",-,Detached House,1,99 yrs lease commencing from 1994,23,Outside Central Region,-
SUNRISE VILLA,"3,600,000","1,716.86","2,097",Dec-25,SUNRISE PLACE,Resale,Land,159.5,"22,571",-,Terrace House,1,Freehold,28,Outside Central Region,-
EAST TUDOR,"4,000,000","2,403.6","1,664",Dec-25,UPPER CHANGI ROAD,Resale,Land,223.3,"17,913",-,Terrace House,1,Freehold,16,Outside Central Region,-
BEDOK PARK,"4,880,000","3,281.94","1,487",Dec-25,LIMAU GARDEN,Resale,Land,304.9,"16,005",-,Terrace House,1,Freehold,16,Outside Central Region,-
MING TECK PARK,"8,100,000","3,314.24","2,444",Dec-25,MING TECK PARK,Resale,Land,307.9,"26,307",-,Semi-Detached House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
TEACHERS' HOUSING ESTATE,"5,180,000","1,804.05","2,871",Dec-25,TAGORE AVENUE,Resale,Land,167.6,"30,907",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,800,000","3,994.52","2,954",Dec-25,CORONATION ROAD,Resale,Land,371.1,"31,797",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
YUNNAN GARDENS,"4,880,000","2,551.07","1,913",Dec-25,YUNNAN WALK 1,Resale,Land,237,"20,591",-,Terrace House,1,Freehold,22,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,168,000","2,799.72","1,846",Dec-25,BLOXHOME DRIVE,Resale,Land,260.1,"19,869",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
GPL TERRACE,"4,700,000","1,968.74","2,387",Dec-25,PUAY HEE AVENUE,Resale,Land,182.9,"25,697",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LOYANG VILLAS,"2,310,000","1,614.6","1,431",Dec-25,LOYANG VIEW,Resale,Land,150,"15,400",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,660,000","2,274.43","2,928",Dec-25,BRIGHTON CRESCENT,New Sale,Land,211.3,"31,519",-,Terrace House,1,Freehold,19,Outside Central Region,-
PEAKVILLE PARK,"4,180,000","1,755.61","2,381",Dec-25,PEAKVILLE WALK,Resale,Land,163.1,"25,628",-,Terrace House,1,Freehold,16,Outside Central Region,-
CASHEW VILLAS,"4,600,000","2,424.05","1,898",Dec-25,CASHEW CRESCENT,Resale,Land,225.2,"20,426",-,Terrace House,1,999 yrs lease commencing from 1883,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,368,000","1,443.45","2,333",Dec-25,SIMON ROAD,Resale,Land,134.1,"25,116",-,Terrace House,1,Freehold,19,Outside Central Region,-
SELETAR HILLS ESTATE,"7,280,000","3,484.31","2,089",Dec-25,JALAN KELULUT,Resale,Land,323.7,"22,490",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
POLLEN COLLECTION II,"4,225,000","1,614.6","2,617",Dec-25,POLLEN RISE,New Sale,Land,150,"28,167",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
SPRINGLEAF GARDEN,"6,200,000","3,909.48","1,586",Dec-25,SPRINGLEAF LANE,Resale,Land,363.2,"17,070",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,700,000",886.95,"3,044",Dec-25,JALAN GEMBIRA,Resale,Land,82.4,"32,767",-,Terrace House,1,Freehold,13,Rest of Central Region,-
SENNETT ESTATE,"3,280,000","1,499.43","2,188",Dec-25,MACPHERSON ROAD,Resale,Land,139.3,"23,546",-,Terrace House,1,Freehold,13,Rest of Central Region,-
CHUAN GREEN,"3,528,000","1,924.6","1,833",Dec-25,CHUAN DRIVE,Resale,Land,178.8,"19,732",-,Terrace House,1,99 yrs lease commencing from 2001,19,Outside Central Region,-
SHAMROCK PARK,"8,888,000","3,594.1","2,473",Dec-25,NAMLY AVENUE,Resale,Land,333.9,"26,619",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
THOMSON GARDEN ESTATE,"2,850,000",884.8,"3,221",Dec-25,JALAN PINTAU,Resale,Land,82.2,"34,672",-,Terrace House,1,Freehold,20,Rest of Central Region,-
WINDSOR PARK,"24,156,000","17,616.36","1,371",Dec-25,WINDSOR PARK ROAD,Resale,Land,"1,636.6","14,760",-,Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,218,000","2,319.64","2,681",Dec-25,TEOW HOCK AVENUE,Resale,Land,215.5,"28,854",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,740,000","1,599.53","2,338",Dec-25,UPPER PAYA LEBAR ROAD,Resale,Land,148.6,"25,168",-,Terrace House,1,Freehold,19,Outside Central Region,-
HOLLAND GROVE PARK,"15,800,000","7,099.93","2,225",Dec-25,JALAN KEBAYA,Resale,Land,659.6,"23,954",-,Detached House,1,Freehold,10,Core Central Region,-
HAUS@SERANGOON GARDEN,"3,880,000","2,289.5","1,695",Dec-25,SERANGOON GARDEN RISE,Resale,Land,212.7,"18,242",-,Terrace House,1,99 yrs lease commencing from 2011,19,Outside Central Region,-
VILLA BEGONIA,"3,300,000","2,287.35","1,443",Dec-25,BEGONIA WALK,Resale,Land,212.5,"15,529",-,Semi-Detached House,1,99 yrs lease commencing from 1994,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,388,000","1,809.43","2,425",Dec-25,JALAN TARI PIRING,Resale,Land,168.1,"26,104",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,850,000","1,962.28","2,472",Dec-25,JALAN IKAN MERAH,Resale,Land,182.3,"26,604",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"7,180,000","3,122.64","2,299",Dec-25,TAVISTOCK AVENUE,Resale,Land,290.1,"24,750",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
MAYFAIR PARK,"880,000","3,649",241,Dec-25,JALAN WAJEK,Resale,Land,339,"2,596",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","3,737.26","1,338",Dec-25,JALAN ANGGEREK,Resale,Land,347.2,"14,401",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"1,750,000","3,842.75",455,Dec-25,JALAN SEGAM,Resale,Land,357,"4,902",-,Semi-Detached House,1,99 yrs lease commencing from 1965,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,800,000","6,842.67",994,Dec-25,JALAN MATA AYER,Resale,Land,635.7,"10,697",-,Detached House,1,953 yrs lease commencing from 1931,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,800,000","2,184.02","1,740",Dec-25,JALAN TANI,Resale,Land,202.9,"18,728",-,Terrace House,1,999 yrs lease commencing from 1875,19,Outside Central Region,-
STRATTON GREEN,"4,180,000","1,969.81","2,122",Dec-25,STRATTON DRIVE,Resale,Land,183,"22,842",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,700,000","3,157.08","1,489",Dec-25,DIX ROAD,Resale,Land,293.3,"16,025",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
WESTVILLE,"2,380,000","1,612.45","1,476",Dec-25,WESTWOOD AVENUE,Resale,Land,149.8,"15,888",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"5,450,000","1,782.52","3,057",Dec-25,JALAN KURAS,Resale,Land,165.6,"32,911",-,Terrace House,1,Freehold,20,Outside Central Region,-
VILLA VERDE,"2,480,000","1,779.29","1,394",Dec-25,VERDE CRESCENT,Resale,Land,165.3,"15,003",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
EDEN PARK,"14,169,000","3,176.46","4,461",Dec-25,FIR AVENUE,Resale,Land,295.1,"48,014",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SEMBAWANG HILLS ESTATE,"4,750,000","1,500.5","3,166",Dec-25,CASUARINA ROAD,Resale,Land,139.4,"34,075",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,450,000","1,566.16","2,841",Dec-25,TENG TONG ROAD,Resale,Land,145.5,"30,584",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SELETAR HILLS ESTATE,"3,620,000","2,160.33","1,676",Dec-25,JALAN KERUING,Resale,Land,200.7,"18,037",-,Terrace House,1,Freehold,28,Outside Central Region,-
PARRY PARK,"5,000,000","3,593.02","1,392",Dec-25,PARRY WALK,Resale,Land,333.8,"14,979",-,Terrace House,1,999 yrs lease commencing from 1877,19,Outside Central Region,-
THOMSON PARK,"4,168,888","2,325.02","1,793",Dec-25,JALAN TERUBOK,Resale,Land,216,"19,300",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,660,000","1,822.35","2,557",Dec-25,JALAN TARI PIRING,Resale,Land,169.3,"27,525",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"3,218,888",884.8,"3,638",Dec-25,JALAN SETIA,Resale,Land,82.2,"39,159",-,Terrace House,1,Freehold,13,Rest of Central Region,-
