Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
POLLEN COLLECTION II,"4,234,000","1,614.6","2,622",Mar-26,POLLEN RISE,New Sale,Land,150,"28,227",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
GOLDLEAF GARDENS,"4,900,000","2,370.23","2,067",Mar-26,KURAU PLACE,Resale,Land,220.2,"22,252",-,Terrace House,1,Freehold,15,Outside Central Region,-
AIRVIEW PARK,"6,007,616","3,181.84","1,888",Mar-26,THAM SOONG AVENUE,Resale,Land,295.6,"20,323",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,525,000","2,256.13","2,006",Mar-26,POH HUAT ROAD,Resale,Land,209.6,"21,589",-,Terrace House,1,940 yrs lease commencing from 1941,19,Outside Central Region,-
CLOVER PARK,"5,000,000","1,696.41","2,947",Mar-26,CLOVER AVENUE,Resale,Land,157.6,"31,726",-,Terrace House,1,Freehold,20,Rest of Central Region,-
ARDISIA GARDENS,"3,050,000","1,807.28","1,688",Mar-26,SERANGOON TERRACE,Resale,Land,167.9,"18,166",-,Terrace House,1,99 yrs lease commencing from 1993,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,000,000","4,792.13","2,713",Mar-26,LYNWOOD GROVE,New Sale,Land,445.2,"29,200",-,Detached House,1,Freehold,13,Outside Central Region,-
YEW LIAN PARK,"4,400,000","1,779.29","2,473",Mar-26,TAMAN PERMATA,Resale,Land,165.3,"26,618",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SELETAR HILLS ESTATE,"4,380,000","2,266.9","1,932",Mar-26,JALAN REDOP,Resale,Land,210.6,"20,798",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
THE RIVERINA,"2,518,000","1,628.59","1,546",Mar-26,RIVERINA CRESCENT,Resale,Land,151.3,"16,642",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
CHANGI HEIGHTS,"3,728,000","1,733","2,151",Mar-26,JALAN SINAR BINTANG,Resale,Land,161,"23,155",-,Terrace House,1,Freehold,17,Outside Central Region,-
THOMSON PARK,"4,200,000","1,602.76","2,620",Mar-26,JALAN IKAN MERAH,Resale,Land,148.9,"28,207",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"3,080,000","1,486.51","2,072",Mar-26,CASUARINA ROAD,Resale,Land,138.1,"22,303",-,Terrace House,1,Freehold,20,Outside Central Region,-
THE SPRINGSIDE,"4,600,000","1,758.84","2,615",Mar-26,SPRINGSIDE VIEW,Resale,Land,163.4,"28,152",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,656,888","2,751.28","2,056",Mar-26,LORONG MELAYU,Resale,Land,255.6,"22,132",-,Terrace House,1,Freehold,14,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,098,000","2,799.72","1,821",Mar-26,BORTHWICK DRIVE,Resale,Land,260.1,"19,600",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
THE GREENWOOD,"6,058,000","1,778.21","3,407",Mar-26,GREENWOOD AVENUE,Resale,Land,165.2,"36,671",-,Terrace House,1,Freehold,11,Core Central Region,-
SELETAR HILLS ESTATE,"4,638,000","2,794.33","1,660",Mar-26,NERAM ROAD,Resale,Land,259.6,"17,866",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
EAST VIEW GARDEN,"5,830,000","4,457.37","1,308",Mar-26,JALAN PERGAM,Resale,Land,414.1,"14,079",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
POLLEN COLLECTION II,"4,903,000","2,421.9","2,024",Mar-26,POLLEN RISE,New Sale,Land,225,"21,791",-,Terrace House,1,99 yrs lease commencing from 2025,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,000,000","4,725.4","2,751",Mar-26,LYNWOOD GROVE,Resale,Land,439,"29,613",-,Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","7,645.67",589,Mar-26,OAKWOOD GROVE,Resale,Land,710.3,"6,335",-,Detached House,1,99 yrs lease commencing from 1995,25,Outside Central Region,-
