Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
NORTHWAVE,"1,230,000",968.76,"1,270",May-26,WOODLANDS VIEW,Resale,Strata,90,"13,667",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,01 to 05
BELLEWOODS,"1,200,000",936.47,"1,281",May-26,WOODLANDS AVENUE 5,Resale,Strata,87,"13,793",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,01 to 05
THE TOPIARY,"1,468,000",904.18,"1,624",May-26,FERNVALE LANE,Resale,Strata,84,"17,476",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,11 to 15
CITYLIFE@TAMPINES,"1,960,000","1,194.8","1,640",May-26,TAMPINES CENTRAL 7,Resale,Strata,111,"17,658",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
THE CANOPY,"1,350,000","1,184.04","1,140",May-26,YISHUN AVENUE 11,Resale,Strata,110,"12,273",-,Executive Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,11 to 15
COASTAL CABANA,"1,738,000",914.94,"1,900",May-26,JALAN LOYANG BESAR,New Sale,Strata,85,"20,447",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,11 to 15
PINEVALE,"1,650,000","1,280.92","1,288",May-26,TAMPINES STREET 73,Resale,Strata,119,"13,866",-,Executive Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10
COASTAL CABANA,"2,161,000","1,205.57","1,793",May-26,JALAN LOYANG BESAR,New Sale,Strata,112,"19,295",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,06 to 10
WHITEWATER,"1,300,000","1,140.98","1,139",May-26,PASIR RIS STREET 72,Resale,Strata,106,"12,264",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,11 to 15
SIGNATURE AT YISHUN,"1,208,000",947.23,"1,275",May-26,YISHUN STREET 51,Resale,Strata,88,"13,727",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
SOL ACRES,"1,150,000",731.95,"1,571",May-26,CHOA CHU KANG GROVE,Resale,Strata,68,"16,912",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,06 to 10
THE TOPIARY,"1,425,686",914.94,"1,558",May-26,FERNVALE LANE,Resale,Strata,85,"16,773",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,16 to 20
WATERCOLOURS,"750,000",968.76,774,May-26,PASIR RIS LINK,Resale,Strata,90,"8,333",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
SIMEI GREEN CONDOMINIUM,"1,138,000",968.76,"1,175",May-26,SIMEI STREET 4,Resale,Strata,90,"12,644",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
ECOPOLITAN,"1,650,000","1,216.33","1,357",May-26,PUNGGOL WALK,Resale,Strata,113,"14,602",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
OTTO PLACE,"1,824,000",947.23,"1,926",May-26,PLANTATION CLOSE,New Sale,Strata,88,"20,727",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,16 to 20
COASTAL CABANA,"1,611,000",914.94,"1,761",May-26,JALAN LOYANG BESAR,New Sale,Strata,85,"18,953",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,06 to 10
RIVERPARC RESIDENCE,"1,415,000",990.29,"1,429",May-26,PUNGGOL DRIVE,Resale,Strata,92,"15,380",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
THE TOPIARY,"1,390,000",914.94,"1,519",May-26,FERNVALE LANE,Resale,Strata,85,"16,353",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,06 to 10
AUSTVILLE RESIDENCES,"1,100,000",807.3,"1,363",May-26,SENGKANG EAST AVENUE,Resale,Strata,75,"14,667",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
BLOSSOM RESIDENCES,"1,720,000","1,248.62","1,378",May-26,SEGAR ROAD,Resale,Strata,116,"14,828",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
THE VISIONAIRE,"1,810,000","1,140.98","1,586",May-26,CANBERRA DRIVE,Resale,Strata,106,"17,075",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
INZ RESIDENCE,"1,650,000","1,108.69","1,488",May-26,CHOA CHU KANG AVENUE 5,Resale,Strata,103,"16,019",-,Executive Condominium,1,99 yrs lease commencing from 2015,23,Outside Central Region,06 to 10
1 CANBERRA,"1,310,000",936.47,"1,399",May-26,CANBERRA DRIVE,Resale,Strata,87,"15,057",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
RIVERCOVE RESIDENCES,"1,415,000",904.18,"1,565",May-26,ANCHORVALE LANE,Resale,Strata,84,"16,845",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
RIVERPARC RESIDENCE,"1,833,800","1,227.1","1,494",May-26,PUNGGOL DRIVE,Resale,Strata,114,"16,086",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
COASTAL CABANA,"1,935,000","1,011.82","1,912",May-26,JALAN LOYANG BESAR,New Sale,Strata,94,"20,585",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,11 to 15
LA CASA,"1,075,000","1,087.16",989,May-26,WOODLANDS DRIVE 16,Resale,Strata,101,"10,644",-,Executive Condominium,1,99 yrs lease commencing from 2004,25,Outside Central Region,01 to 05
ECOPOLITAN,"1,430,000","1,097.93","1,302",May-26,PUNGGOL WALK,Resale,Strata,102,"14,020",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
WHITEWATER,"1,300,000","1,194.8","1,088",May-26,PASIR RIS STREET 72,Resale,Strata,111,"11,712",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,11 to 15
RIVERCOVE RESIDENCES,"2,070,888","1,216.33","1,703",May-26,ANCHORVALE LANE,Resale,Strata,113,"18,326",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
THE TAMPINES TRILLIANT,"1,935,000","1,130.22","1,712",May-26,TAMPINES CENTRAL 7,Resale,Strata,105,"18,429",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
THE TERRACE,"1,388,000","1,001.05","1,387",May-26,EDGEDALE PLAINS,Resale,Strata,93,"14,925",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
TWIN WATERFALLS,"1,695,000","1,087.16","1,559",Apr-26,PUNGGOL WALK,Resale,Strata,101,"16,782",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE BROWNSTONE,"1,460,000",947.23,"1,541",Apr-26,CANBERRA DRIVE,Resale,Strata,88,"16,591",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
TENET,"2,300,000","1,367.03","1,682",Apr-26,TAMPINES STREET 62,New Sale,Strata,127,"18,110",-,Executive Condominium,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
BISHAN LOFT,"2,480,000","1,377.79","1,800",Apr-26,BISHAN STREET 11,Resale,Strata,128,"19,375",-,Executive Condominium,1,99 yrs lease commencing from 2000,20,Rest of Central Region,21 to 25
FORESTVILLE,"1,980,000","1,722.24","1,150",Apr-26,WOODLANDS DRIVE 16,Resale,Strata,160,"12,375",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,01 to 05
THE VALES,"1,230,000",764.24,"1,609",Apr-26,ANCHORVALE CRESCENT,Resale,Strata,71,"17,324",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
SOL ACRES,"1,475,000",925.7,"1,593",Apr-26,CHOA CHU KANG GROVE,Resale,Strata,86,"17,151",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,16 to 20
LA CASA,"1,210,000","1,140.98","1,060",Apr-26,WOODLANDS DRIVE 16,Resale,Strata,106,"11,415",-,Executive Condominium,1,99 yrs lease commencing from 2004,25,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,747,000",925.7,"1,887",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"20,314",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"1,774,000",925.7,"1,916",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"20,628",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
WATERBAY,"2,060,000","1,259.39","1,636",Apr-26,EDGEFIELD PLAINS,Resale,Strata,117,"17,607",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
LAKE LIFE,"1,725,000","1,194.8","1,444",Apr-26,TAO CHING ROAD,Resale,Strata,111,"15,541",-,Executive Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,06 to 10
ARC AT TAMPINES,"1,650,000","1,151.75","1,433",Apr-26,TAMPINES AVENUE 8,Resale,Strata,107,"15,421",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
PARC LIFE,"1,498,000","1,065.64","1,406",Apr-26,SEMBAWANG CRESCENT,Resale,Strata,99,"15,131",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
HUNDRED PALMS RESIDENCES,"2,055,000","1,011.82","2,031",Apr-26,YIO CHU KANG ROAD,Resale,Strata,94,"21,862",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
RIVERCOVE RESIDENCES,"1,595,000",958,"1,665",Apr-26,ANCHORVALE LANE,Resale,Strata,89,"17,921",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
HERON BAY,"1,450,000","1,033.34","1,403",Apr-26,UPPER SERANGOON VIEW,Resale,Strata,96,"15,104",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
TREASURE CREST,"1,565,000",958,"1,634",Apr-26,ANCHORVALE CRESCENT,Resale,Strata,89,"17,584",-,Executive Condominium,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,305,000","1,184.04","1,947",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,955",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,226,000","1,184.04","1,880",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,236",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
THE TERRACE,"1,680,000","1,076.4","1,561",Apr-26,EDGEDALE PLAINS,Resale,Strata,100,"16,800",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
WATERCOLOURS,"1,200,000",958,"1,253",Apr-26,PASIR RIS LINK,Resale,Strata,89,"13,483",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
WATERBAY,"2,200,000","1,410.08","1,560",Apr-26,EDGEFIELD PLAINS,Resale,Strata,131,"16,794",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
SUMMERDALE,"1,320,000","1,216.33","1,085",Apr-26,BOON LAY DRIVE,Resale,Strata,113,"11,681",-,Executive Condominium,1,99 yrs lease commencing from 1997,22,Outside Central Region,11 to 15
AUSTVILLE RESIDENCES,"1,499,000","1,022.58","1,466",Apr-26,SENGKANG EAST AVENUE,Resale,Strata,95,"15,779",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
FORESTVILLE,"1,735,000","1,550.02","1,119",Apr-26,WOODLANDS DRIVE 16,Resale,Strata,144,"12,049",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,01 to 05
COASTAL CABANA,"1,718,000",914.94,"1,878",Apr-26,JALAN LOYANG BESAR,New Sale,Strata,85,"20,212",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,11 to 15
COASTAL CABANA,"2,327,000","1,216.33","1,913",Apr-26,JALAN LOYANG BESAR,New Sale,Strata,113,"20,593",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,06 to 10
COASTAL CABANA,"1,721,000",914.94,"1,881",Apr-26,JALAN LOYANG BESAR,New Sale,Strata,85,"20,247",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,06 to 10
COASTAL CABANA,"2,281,000","1,205.57","1,892",Apr-26,JALAN LOYANG BESAR,New Sale,Strata,112,"20,366",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,06 to 10
COASTAL CABANA,"2,012,000","1,054.87","1,907",Apr-26,JALAN LOYANG BESAR,New Sale,Strata,98,"20,531",-,Executive Condominium,1,99 yrs lease commencing from 2024,17,Outside Central Region,11 to 15
RIVELLE TAMPINES,"2,000,000","1,044.11","1,916",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,619",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,718,000",925.7,"1,856",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"19,977",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,126,000","1,108.69","1,918",Apr-26,TAMPINES STREET 95,New Sale,Strata,103,"20,641",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,134,000","1,108.69","1,925",Apr-26,TAMPINES STREET 95,New Sale,Strata,103,"20,718",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,031,000","1,044.11","1,945",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,938",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,049,000","1,044.11","1,962",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,124",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"1,596,000",882.65,"1,808",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"19,463",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,653,000",882.65,"1,873",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,159",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,800,000",925.7,"1,944",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"20,930",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,559,000","1,377.79","1,857",Apr-26,TAMPINES STREET 95,New Sale,Strata,128,"19,992",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,646,000","1,377.79","1,920",Apr-26,TAMPINES STREET 95,New Sale,Strata,128,"20,672",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,044,000","1,044.11","1,958",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,072",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,056,000","1,044.11","1,969",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,196",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
